Augustana Faculty,AUCSL,AUCSL100,An Introduction to Community Engagement
Augustana Faculty,AUCSL,AUCSL350,Selected Topics in Community Service-Learning
Augustana Faculty,AUCSL,AUCSL360,Community Service-Learning Practicum
Augustana Faculty,AUCSL,AUCSL361,Community Service-Learning Practicum
Augustana Faculty,AUCSL,AUCSL361A,Community Service-Learning Practicum
Augustana Faculty,AUCSL,AUCSL361B,Community Service-Learning Practicum
Augustana Faculty,AUCSL,AUCSL480,Directed Study in Community Service-Learning
Augustana Faculty,AUDRA,AUDRA101,Play Analysis
Augustana Faculty,AUDRA,AUDRA109,Script Analysis and Production Preparation
Augustana Faculty,AUDRA,AUDRA123,Introduction to Oral Communication
Augustana Faculty,AUDRA,AUDRA138,Theatre Company
Augustana Faculty,AUDRA,AUDRA139,Theatre Company
Augustana Faculty,AUDRA,AUDRA144,Improvisation I: Introduction
Augustana Faculty,AUDRA,AUDRA201,History and Critical Analysis of Theatre
Augustana Faculty,AUDRA,AUDRA209,Script Analysis and Production Preparation
Augustana Faculty,AUDRA,AUDRA230,Acting Techniques I
Augustana Faculty,AUDRA,AUDRA233,Clown and Mask
Augustana Faculty,AUDRA,AUDRA238,Theatre Company
Augustana Faculty,AUDRA,AUDRA239,Theatre Company
Augustana Faculty,AUDRA,AUDRA301,Directed Reading I
Augustana Faculty,AUDRA,AUDRA309,Script Analysis and Production Preparation
Augustana Faculty,AUDRA,AUDRA320,Performer-Created Theatre
Augustana Faculty,AUDRA,AUDRA338,Theatre Company
Augustana Faculty,AUDRA,AUDRA339,Theatre Company
Augustana Faculty,AUDRA,AUDRA340,Movement for the Theatre
Augustana Faculty,AUDRA,AUDRA344,Improvisation III: Applied Improvisation
Augustana Faculty,AUDRA,AUDRA350,Introduction to Directing
Augustana Faculty,AUDRA,AUDRA398,Selected Topics
Augustana Faculty,AUDRA,AUDRA409,Script Analysis and Production Preparation
Augustana Faculty,AUDRA,AUDRA430,Movement and Physical Theatre
Augustana Faculty,AUDRA,AUDRA437,Senior Showcase
Augustana Faculty,AUDRA,AUDRA438,Theatre Company
Augustana Faculty,AUDRA,AUDRA439,Theatre Company
Augustana Faculty,AUDRA,AUDRA509,Script Analysis and Production Preparation
Augustana Faculty,AUDRA,AUDRA538,Theatre Production
Augustana Faculty,AUDRA,AUDRA539,Theatre Production
Augustana Faculty,AUEAP,AUEAP103,English for Academic Purposes I
Augustana Faculty,AUEAP,AUEAP104,English for Academic Purposes II
Augustana Faculty,AUEAP,AUEAP140,English for Academic Purposes
Augustana Faculty,AUEAP,AUEAP145,English for Academic Purposes
Augustana Faculty,AUECO,AUECO101,Introduction to Microeconomics
Augustana Faculty,AUECO,AUECO102,Introduction to Macroeconomics
Augustana Faculty,AUECO,AUECO203,Intermediate Microeconomic Analysis I
Augustana Faculty,AUECO,AUECO204,Intermediate Macroeconomic Analysis I
Augustana Faculty,AUECO,AUECO206,Mathematics in Economics and Finance
Augustana Faculty,AUECO,AUECO251,History of Canadian Economic Development
Augustana Faculty,AUECO,AUECO254,India Tour
Augustana Faculty,AUECO,AUECO257,The International Economy in Historical Perspective I
Augustana Faculty,AUECO,AUECO258,The International Economy in Historical Perspective II
Augustana Faculty,AUECO,AUECO311,Introductory Econometrics
Augustana Faculty,AUECO,AUECO333,Money and Banking in Canada
Augustana Faculty,AUECO,AUECO341,Environmental Economics
Augustana Faculty,AUECO,AUECO346,Agricultural Economics
Augustana Faculty,AUECO,AUECO356,China Tour: Experiencing Development and Change
Augustana Faculty,AUECO,AUECO360,International Economics
Augustana Faculty,AUECO,AUECO363,International Finance
Augustana Faculty,AUECO,AUECO384,Intermediate Microeconomic Analysis II
Augustana Faculty,AUECO,AUECO385,Intermediate Macroeconomic Analysis II
Augustana Faculty,AUECO,AUECO397,Directed Reading I
Augustana Faculty,AUECO,AUECO463,International Finance
Augustana Faculty,AUECO,AUECO480,Ethics in Economics and Business
